"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",4,19108
"2",2,"Nächster Redner ist der Kollege Armin-Paulus Hampel, AfD.","","","01",4,19108
"3",3,"Armin-Paulus Hampel:","","","02",4,19108
"4",4,"Herr Präsident! Meine sehr verehrten Damen und Herren! Liebe Besucher und Gäste im Deutschen Bundestag und Zuschauer zu Hause an den Bildschirmen! Herr Felgentreu, ich habe den Eindruck, wir reden über ein spanisches Urlaubsgebiet.","","","03",4,19108
"5",5," Die alten Kulturstätten, die Klöster auf dem Balkan und im Kosovo:","","","04",4,19108
"6",6," Ja, das alles gibt es.","","","05",4,19108
"7",7," Aber dann fragen Sie sich mal, wer gerade eine Reihe von, ich glaube, über 200 Klöstern im Kosovo zerstört hat.","","","06",4,19108
"8",8," Das waren Kosovo-Albaner, und die haben nicht die touristischen Vorstellungen, die Sie hier äußern.","","","07",4,19108
"9",9," Meine Damen und Herren, es begann mit einer Lüge.","","","08",4,19108
"10",10," Es gibt eine Produktion des öffentlich-rechtlichen Fernsehens, die derzeit mehrfach ausgestrahlt wird, die genau das wiedergibt, was in den 90er-Jahren im Kosovo an völkerrechtswidrigen Aktivitäten durchgeführt wurde.","","","09",4,19108
"11",11," Es war nicht nur ein Bruch des Völkerrechts, nein, wir haben sogar, willentlich und wissentlich, gegen die UN-Resolution 1244 verstoßen, die ausdrücklich die territoriale Integrität Serbiens anerkannt hat.","","","10",4,19108
"12",12," Und Sie haben genau das Gegenteil gemacht:","","","11",4,19108
"13",13," Sie haben sich gegen die UN und gegen das Völkerrecht gestellt.","","","12",4,19108
"14",14," Das ist die Wahrheit.","","","13",4,19108
"15",15," Herausgekommen ist ein sogenannter Failed State, ein Verbrecherstaat, der von Kriminellen regiert wird.","","","14",4,19108
"16",16," Drogenhandel, Menschenhandel, Waffengeschäfte, Geldwäscherei in jedem Sinne:","","","15",4,19108
"17",17," Das lesen Sie in jeder internationalen Agentur.","","","16",4,19108
"18",18," Bis hinauf in die höchsten Regierungsspitzen ist die kosovarische Regierung von Kriminellen durchsetzt, und der Präsident, der dort oben an der Spitze steht, Herr Thaci, stand ja schon vor einem Gericht und sollte angeklagt werden.","","","17",4,19108
"19",19," Aber sämtliche Zeugen in diesem Prozess sind umgebracht worden.","","","18",4,19108
"20",20," Ich habe keinen Aufschrei im Deutschen Bundestag darüber gehört, meine Damen und Herren.","","","19",4,19108
"21",21,"Kosten in Höhe von 3,4 Milliarden Euro, 130 000 Mann über 20 Jahre im Einsatz.","","","20",4,19108
