"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",150,19083
"2",2," Vielen Dank.","","","01",150,19083
"3",3," — Nächster Redner ist der Kollege Peter Aumer von der CDU/CSU.","","","02",150,19083
"4",4," Peter Aumer:","","","03",150,19083
"5",5,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! In zweiter und dritter Lesung beraten wir den Gesetzentwurf der Bundesregierung zu den Übergangsregelungen im sozialen Bereich, falls es zum harten Brexit kommen sollte.","","","04",150,19083
"6",6," Mit diesem Gesetz schaffen wir Rechtssicherheit und eine angemessene Absicherung bei Krankheit, Pflegebedürftigkeit, Arbeitslosigkeit und in weiteren Bereichen.","","","05",150,19083
"7",7,"Seit der ersten Lesung dieses Gesetzentwurfes sind drei Wochen vergangen.","","","06",150,19083
"8",8," Es sieht nicht so aus, dass es eine Einigung zwischen der EU und Großbritannien geben wird.","","","07",150,19083
"9",9," Deshalb ist es richtig und wichtig, dass die Bundesregierung diesen Gesetzentwurf frühzeitig eingebracht hat.","","","08",150,19083
"10",10," Das, meine sehr geehrten Damen und Herren, ist verantwortungsvolle Politik.","","","09",150,19083
"11",11," Hier geht es, liebe Kollegen, um 400 000 Menschen, um 400 000 individuelle Geschichten und Lebensentwürfe, die sich in einem geeinten Europa nicht mit nationaleneter AumerLandesgrenzen befasst haben, für die der Austausch zwischen den Nationen und der europäische Alltag Lebensalltag geworden ist.","","","10",150,19083
"12",12," Für diese Menschen schaffen wir mit diesem Gesetz Rechtssicherheit.","","","11",150,19083
"13",13,"Aus meinem Wahlkreis habe ich eine Zuschrift bekommen von einem Mann, der an der Fachhochschule in Regensburg BWL studiert hat und nun in Großbritannien arbeitet.","","","12",150,19083
"14",14," Er lebt seit 18 Jahren in Großbritannien und hat in seinem Schreiben gefordert, dass die Menschen, die ihr Leben auf den Prinzipien der Europäischen Union aufgebaut haben, nicht Opfer eines Scheiterns der Gespräche werden dürfen.","","","13",150,19083
"15",15," Und genau darum, meine sehr geehrten Damen und Herren, geht es heute.","","","14",150,19083
"16",16," Das ist unsere Aufgabe.","","","15",150,19083
"17",17," Eines, meine sehr geehrten Damen und Herren, wird bei der Brexit-Debatte deutlich:","","","16",150,19083
"18",18," die Stärke der Europäischen Union, die Stärke des einheitlichen Binnenmarktes und die Kraft der Koordinierung der Systeme der sozialen Sicherheit.","","","17",150,19083
"19",19," Die geschaffene Freiheit ist die Stärke der EU.","","","18",150,19083
"20",20," Herr Kleinwächter, es geht nicht um den Gegensatz von Freiheit und Selbstbestimmung, sondern es geht um die Kraft, die die Europäische Union in den letzten Jahrzehnten entwickelt hat.","","","19",150,19083
"21",21," Es geht vor allem um ein Grundprinzip der Europäischen Union, das Sie vielleicht vergessen haben:","","","20",150,19083
"22",22," die Subsidiarität.","","","21",150,19083
"23",23," Jede Ebene muss in ihrem Bereich regeln, was sie regeln kann.","","","22",150,19083
"24",24," Man sieht bei der Brexit-Debatte genau, wie schwierig es ist, Dinge, die über Jahrzehnte zusammengewachsen sind, auseinanderzureißen.","","","23",150,19083
"25",25," Diese Kraft, meine sehr geehrten Damen und Herren, liebe Kolleginnen und Kollegen, müssen wir in der Europäischen Union zurückgewinnen, um diese in den nächsten Monaten nicht den Populisten zu überlassen.","","","24",150,19083
"26",26," — Die Subsidiarität funktioniert sehr wohl, sehr geehrter Herr Kleinwächter; das sehen wir sehr gut.","","","25",150,19083
"27",27," Es geht um die grenzüberschreitenden Dinge:","","","26",150,19083
"28",28," um grenzüberschreitendes Leben und um grenzüberschreitendes Handeln.","","","27",150,19083
"29",29," Das ist ein wesentlicher Bereich, den man auf die europäische Ebene übertragen hat bzw.","","","28",150,19083
"30",30," weiter übertragen muss.","","","29",150,19083
"31",31,"Sollte es zum Brexit kommen, meine sehr geehrten Damen und Herren, stärken diese Übergangsregelungen und auch die Debatten, die wir heute in diesem Haus führen, den europäischen Gedanken.","","","30",150,19083
"32",32,"Herr Kleinwächter, es geht nicht um ein Chaosgesetz.","","","31",150,19083
"33",33," Wir reden über das genaue Gegenteil.","","","32",150,19083
"34",34," Sie haben gesagt:","","","33",150,19083
"35",35," Der Kommissionsvorschlag ist besser.","","","34",150,19083
"36",36," — Wenn Sie am Montag in der Anhörung der Experten besser aufgepasst hätten, wüssten Sie:","","","35",150,19083
"37",37," Die sagen genau das Gegenteil.","","","36",150,19083
"38",38," Unser Gesetzentwurf ist besser, weil er klarer regelt und den Menschen mehr Sicherheit gibt.","","","37",150,19083
"39",39," — Das ist doch die Aufgabe, die wir haben:","","","38",150,19083
"40",40," Wir müssen den Menschen, die ganz konkret betroffen sind, die in den letzten Jahren in Großbritannien gearbeitet und Ansprüche erworben haben, Sicherheit geben.","","","39",150,19083
"41",41,"Hier geht es um den Einzelnen und nicht um Populismus.","","","40",150,19083
"42",42," Hier geht es nicht um Chaos, sondern um Vertrauen und um Rechtssicherheit.","","","41",150,19083
"43",43," Das ist unsere Aufgabe in diesem Hohen Haus.","","","42",150,19083
"44",44," Daran haben wir aus meiner Sicht sehr verlässlich gearbeitet.","","","43",150,19083
"45",45," — Ich habe sehr wohl zugehört, Herr Kleinwächter.","","","44",150,19083
"46",46,"Falls es zum Brexit kommt, wird es nicht wie vorher sein; damit haben Sie recht.","","","45",150,19083
"47",47," Es wird nicht wie vorher sein; denn wenn man den Markt auseinanderreißt, kommt es zu Eruptionen.","","","46",150,19083
"48",48," Es gibt eine Berechnung des Leibniz-Instituts für Wirtschaftsforschung, nach der 100 000 Arbeitsplätze verloren gehen sollen.","","","47",150,19083
"49",49," Besonders betroffen wären beispielsweise Automobilstandorte in Deutschland.","","","48",150,19083
"50",50," Siemens und BMW warnen vor Produktionsausfällen.","","","49",150,19083
"51",51," Ich glaube, auch hier wird sehr klar und sehr deutlich, dass man nicht mal eben sagen kann:","","","50",150,19083
"52",52," Wir gehen.","","","51",150,19083
"53",53,"Die AfD hat ja ein Programm vorgelegt, in dem es darum geht, wie Deutschland Europa am besten verlassen könnte.","","","52",150,19083
"54",54," Ich glaube, wir sehen sehr deutlich, dass das so einfach nicht funktioniert.","","","53",150,19083
"55",55," — Ja, ja, reformieren wollen wir auch, aber wir wollen nicht raus, sondern wir wollen in der Europäischen Union bleiben.","","","54",150,19083
"56",56," Wir wollen diese Europäische Union aus eigener Kraft reformieren.","","","55",150,19083
"57",57," Das ist die Aufgabe, die wir haben.","","","56",150,19083
"58",58,"Wenn es zum Austritt kommen sollte, wird Großbritannien in Zukunft trotzdem einer unser wichtigsten Handelspartner bleiben.","","","57",150,19083
"59",59," Deswegen sind verlässliche Übergangsregelungen ein wesentlicher und wichtiger Aspekt der künftigen Zusammenarbeit.","","","58",150,19083
"60",60," Wenn es zum Brexit kommen sollte, wird es unsere Aufgabe in diesem Hohen Haus sein, aus den Übergangsregelungen langfristige Regelungen zu machen.","","","59",150,19083
"61",61," Ich persönlich hoffe, dass es nichtPeter Aumerdazu kommt; denn Europa fußt vor allem auf Vertrauen und Zuversicht.","","","60",150,19083
"62",62," Dieses Vertrauen und die Zuversicht müssen wir bei den Menschen wieder erarbeiten.","","","61",150,19083
"63",63," Das muss unsere Aufgabe und unser Ziel sein.","","","62",150,19083
"64",64,"Herzlichen Dank.
 Vizepräsident Thomas ","","","63",150,19083
