"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",11,19118
"2",2," Herr Kollege Schulz, gestatten Sie eine Zwischenfrage des Kollegen Bystron?Martin Schulz:","","","01",11,19118
"3",3," Nein.","","","02",11,19118
"4",4,"Das ist der gleiche intellektuelle Tiefflug, den wir in Europa erleben und die gleiche Methodik.","","","03",11,19118
"5",5,"Ohne jedes Beispiel ist, dass ein Regierungschef aus einer Telefonunterhaltung mit der Regierungschefin eines anderen Landes bewusst und gezielt Inhalte lanciert.","","","04",11,19118
"6",6," Das hat ja schon Trump-Selenskyj-Qualität, was da abläuft.","","","05",11,19118
"7",7," Warum wird das gemacht? Warum wird die Trump-Methode durch Johnson angewendet? Wenn es am Ende so sein könnte, dass die Europäische Union sagt:","","","06",11,19118
"8",8," „Um unserer selbst willen werden wir nicht jedem Kompromiss zustimmen“, muss es bereits einen Schuldigen geben.","","","07",11,19118
"9",9," Und wer soll der Schuldige sein? Natürlich die Bundeskanzlerin, natürlich der Macron.","","","08",11,19118
"10",10," Hier wird schon vorweg ein „blame game“ gespielt.","","","09",11,19118
"11",11," Das ist die Methode, mit der man Europa zerstört.","","","10",11,19118
"12",12," Das ist die Methode, mit der man Vertrauen zerstört.","","","11",11,19118
"13",13," Das ist die Methode, mit der man die diplomatischen Grundlagen, die man braucht, um in einer globalen Welt zu nachhaltigen Vereinbarungen zu kommen, zerstört.","","","12",11,19118
"14",14," Das, Frau Merkel, dürfen Sie im Europäischen Rat nicht zulassen.","","","13",11,19118
"15",15," Martin SchulzIm Wesentlichen geht es nämlich darum — das ist die Grenzfrage zwischen Irland und Großbritannien -:","","","14",11,19118
"16",16," Bekommt Boris Johnson was er will, nämlich den ungehinderten Zugang zum größten und reichsten Binnenmarkt der Welt, dem europäischen, ohne gleichzeitig verpflichtet zu sein, die ökologischen Standards, die sozialen Standards, die steuerrechtlichen Standards dieses Binnenmarktes einzuhalten? Das würde für die Wirtschaft unseres Landes — kein Land in der EU ist auf diesen europäischen Binnenmarkt und sein Funktionieren mehr als die Bundesrepublik Deutschland angewiesen — bedeuten, dass unsere Betriebe, die die Ökostandards und die Sozialstandards einhalten, die anständig Steuern zahlen, erleben würden, dass wir zulassen, dass vor unserer Haustür eine Plattform für das Dumping jeder Art und eine Steueroase entstehen.","","","15",11,19118
"17",17," Diese Wettbewerbsverzerrung dürfen wir unseren eigenen Unternehmen und ihren Mitarbeiterinnen und Mitarbeitern nicht zumuten.","","","16",11,19118
"18",18," Deshalb:","","","17",11,19118
"19",19," Ja, wir wollen eine möglichst enge Anbindung Großbritanniens an die Europäische Union.","","","18",11,19118
"20",20," Die Frage ist nur:","","","19",11,19118
"21",21," Will Boris Johnson das noch, oder verfolgt er eine völlig andere Politik? Darum wird es gehen.","","","20",11,19118
"22",22,"Deshalb wiederhole ich:","","","21",11,19118
"23",23," Selbstbehauptung ist jetzt gefragt.","","","22",11,19118
"24",24," Die Europäische Union ist Großbritannien weit entgegengekommen.","","","23",11,19118
"25",25," Ich hoffe, dass es einen fairen Deal zwischen beiden gibt.","","","24",11,19118
"26",26," Aber eins ist auch klar:","","","25",11,19118
"27",27," Boris Johnson war jemand, der vom ersten Tag an in Verbindung mit seinem Herrenreiter Rees-Mogg und dessen Arroganz gegenüber jedem und allen, die nicht seiner Meinung sind, und schon gar gegenüber Europa bewiesen hat, dass er des Geistes Kind wie die rechte Seite dieses Hauses ist.","","","26",11,19118
"28",28," In einer globalen Welt ist die Renationalisierung die falsche Antwort.","","","27",11,19118
"29",29," Die Globalisierung braucht Regeln - sozial, ökologisch, demokratisch.","","","28",11,19118
"30",30," Das Modell, das dafür steht, ist die Integration Europas.","","","29",11,19118
"31",31,"Vielen Dank.","","","30",11,19118
"32",32," Präsident Dr.
 Wolfgang ","","","31",11,19118
