"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",108,19074
"2",2," Danke schön.","","","01",108,19074
"3",3," — Nächster Redner für die CDU/ CSU-Fraktion:","","","02",108,19074
"4",4," Karsten Möring.","","","03",108,19074
"5",5," Karsten Möring:","","","04",108,19074
"6",6,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! Lieber Herr Bernhard, im Grunde haben Sie keine Ahnung von dem, was Sie gesagt haben.","","","05",108,19074
"7",7," Ich komme auf die Punkte zurück, die Sie hier so ins Lächerliche ziehen wollen und die es nicht verdient haben, lächerlich gemacht zu werden.","","","06",108,19074
"8",8,"Aber zunächst einmal kurz zum Sachverhalt, um den es geht.","","","07",108,19074
"9",9," Wir haben vor knapp einem Jahr ein Bundesverwaltungsgerichtsurteil bekommen, das in einem letztinstanzlichen Urteil einen Rahmen gesetzt hat, in dem festgelegt wird, dass es zur Einhaltung der Grenzwerte wohl Fahrverbote geben kann, dass aber bei deren Anordnung die Verhältnismäßigkeit berücksichtigt werden muss.","","","08",108,19074
"10",10," Wir haben eine Reihe von Gerichtsverfahren und Urteilen erlebt, in denen Fahrverbote erlaubt wurden und in denen das Gericht in seiner Begründung eine Abwägung vorgenommen hat; eine Abwägung, die wir so für nicht zielführend halten.","","","09",108,19074
"11",11,"Wir sind der Auffassung, dass es aufgrund der Entwicklungen und aufgrund der Maßnahmen, die die Bundesregierung in dem „Programm Saubere Luft“ vorgesehen hat, möglich ist, die Grenzwerte in aller Regel einzuhalten, auch ohne auf Fahrverbote zurückzugreifen.","","","10",108,19074
"12",12," Deswegen beraten wir heute in erster Lesung ein Gesetz, das diese Grenzwerte näher beschreibt.","","","11",108,19074
"13",13," Es legt fest, dass wir, soweit Grenzwerte von 40 Mikrogramm um nicht mehr als 10 Mikrogramm überschritten werden, in der Regel keine Fahrverbote brauchen, um schnellstmöglich den Grenzwert von 40 Mikrogramm zu erreichen — aufgrund einer ganzen Reihe von Maßnahmen.","","","12",108,19074
"14",14," Softwareupdates haben wir schon durchgeführt.","","","13",108,19074
"15",15," Auf der Grundlage des „Programms Saubere Luft“ fördern wir die Elektrifizierung des Verkehrs, die Nachrüstung von ÖPNV-Bussen mit Abgasreinigungssystemen, die Digitalisierung des Verkehrs mit verkehrslenkenden Maßnahmen, die Hardwarenachrüstung von schweren Kommunalfahrzeugen — Müllabfuhr, Straßenreinigung und Ähnlichem mehr — in der sie sagt, dass ein Grenzwert von 40 Mikrogramm pro Kubikmeter medizinisch nicht zwingend zu begründen ist.","","","14",108,19074
