"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",6,19118
"2",2," Jetzt erteile ich das Wort dem Vorsitzenden der FDPFraktion, Christian Lindner.","","","01",6,19118
"3",3," Christian Lindner:","","","02",6,19118
"4",4,"Herr Präsident! Liebe Kolleginnen und Kollegen! Mein Vorredner, der Kollege Dr.","","","03",6,19118
"5",5," Mützenich, hat seinen Beitrag völlig zu Recht mit den Ereignissen in Halle begonnen.","","","04",6,19118
"6",6," Nach einem solchen Ereignis kann der Deutsche Bundestag nicht einfach so zur Tagesordnung übergehen.","","","05",6,19118
"7",7," Der Herr Präsident des Bundestages hat dazu angemessene Worte gefunden.","","","06",6,19118
"8",8," Der Angriff von Halle war nicht nur ein Angriff auf eine Gruppe in unserer Gesellschaft.","","","07",6,19118
"9",9," Wenn sich heute einige in unserer Mitte nicht mehr sicher fühlen können, dann wird sich morgen niemand mehr in Deutschland sicher fühlen.","","","08",6,19118
"10",10," Deshalb waren das richtige Worte.","","","09",6,19118
"11",11,"Sie haben - ich teile das — völlig korrekt auch eine gewisse Verrohung unserer politischen Debattenkultur in einen Zusammenhang mit diesem Ereignis gebracht.","","","10",6,19118
"12",12," Das hat zur Empörung eines Teils des Deutschen Bundestages geführt.","","","11",6,19118
"13",13," Den Kolleginnen und Kollegen der AfD will ich aber sagen:","","","12",6,19118
"14",14," Herr Gauland hat die Gelegenheit verpasst, hier auch nur einen Satz zu den Entgleisungen auf Twitter zu sagen.","","","13",6,19118
"15",15," Auch aus Ihrer Mitte gab es keine Distanzierung.","","","14",6,19118
"16",16," Hier gilt:","","","15",6,19118
"17",17," Wer schweigt, stimmt zu.","","","16",6,19118
"18",18," Wenn Sie einen solchen Kollegen weiter einen Ausschuss des Deutschen Bundestages leiten lassen, dann sagt das etwas tiber Ihren wahren Charakter aus.","","","17",6,19118
"19",19," Frau Bundeskanzlerin, Sie haben unsere Unterstützung bei der Linie, die Sie mit Blick auf den möglichen Austritt des Vereinigten Königreichs aus der Europäischen Union skizziert haben.","","","18",6,19118
"20",20," Wir haben — das haben Sie ausgedrückt — ein Interesse an intakten, an vitalen, an partnerschaftlichen und freundschaftlichen Beziehungen zu Großbritannien, auch über das Austrittsdatum hinaus.","","","19",6,19118
"21",21," Aber — das verkennt die AfD -:","","","20",6,19118
"22",22," Wir haben nicht nur ein Interesse an zukünftig guten Beziehungen zum Vereinigten Königreich, wir haben auch ein Interesse an der Integrität der Europäischen Union für die 27, die gerne bleiben wollen.","","","21",6,19118
"23",23,"Deshalb, Frau Bundeskanzlerin, teilen wir die Dinge, die Sie skizziert haben.","","","22",6,19118
"24",24,"Die Türkei war ein Schwerpunkt Ihrer Rede - völlig zu Recht.","","","23",6,19118
"25",25," Uns erreichen schockierende, erschütternde Bilder aus Syrien mit großen innenpolitischen Auswirkungen bei uns, weil auch der innere Frieden in unserem Land bedroht ist, weil auch neue Migrationsbewegungen zu erwarten sind.","","","24",6,19118
"26",26," Der türkische Präsident hat sich in einer für die internationalen Beziehungen nicht akzeptablen Weise über den Bundesminister des Auswärtigen geäußert.","","","25",6,19118
"27",27," Heiko Maas erfährt hier im Haus oft Kritik — nicht immer zu Unrecht.","","","26",6,19118
"28",28," Aber wenn er von außen in dieser Weise angegriffen wird, dann stellen wir uns alle hinter ihn.","","","27",6,19118
"29",29," So geht man mit einem deutschen Außenminister nicht um.","","","28",6,19118
"30",30," Frau Merkel, von Ihnen hätten wir uns in der Frage bezüglich der Türkei und Syrien mehr Klarheit gewünscht, als Sie sie heute geäußert haben.","","","29",6,19118
"31",31," Wie klar waren die Äußerungen aus Deutschland bei dem Völkerrechtsbruch Russlands auf der Krim? Wir sehen jetzt in Syrien dasselbe, nämlich eine völkerrechtswidrige Invasion einer islamistischen Präsidialdiktatur.","","","30",6,19118
"32",32," Wir erwarten von Ihnen, Frau Merkel, dass Sie die völkerrechtswidrige Invasion der Türkei in Syrien klar ansprechen.","","","31",6,19118
"33",33," Es darf nicht der Eindruck entstehen, dass wir erpressbar geworden sind aufgrund der Flüchtlingspolitik der vergangenen Jahre.","","","32",6,19118
"34",34," Der richtige Schritt wäre, Frau Bundeskanzlerin, dass Sie jetzt einen Sondergipfel der NATO fordern, zusammen mit unseren Partnern in Frankreich und anderen in Europa.","","","33",6,19118
"35",35," Es muss das Gespräch geführt werden mit Herrn Erdogan und Herrn Trump, wie die Region auf Dauer wieder stabilisiert werden kann.","","","34",6,19118
"36",36," Da erwarten wir von Ihnen Führung im westlichen Bündnis.","","","35",6,19118
"37",37," Ob es in dieser Zeit tatsächlich richtig ist, in der eine Abhängigkeit von der Türkei im Raum steht, Initiativen zu ergreifen, wie die des Bundesinnenministers bei den Bootsflüchtlingen, wage ich in Zweifel zu ziehen.","","","36",6,19118
"38",38," Herr Innenminister, Ihnen ist es noch nicht gelungen, die Rückführung von sich illegal in unserem Land aufhaltenden Menschen korrekt und wirksam zu organisieren.","","","37",6,19118
"39",39," Alle Zusagen zu dem Rückführungsabkommen, die Sie in den vergangenen Jahren gemacht haben, haben sich in Wahrheit als haltlos erwiesen.","","","38",6,19118
"40",40," Jetzt pauschal 25 Prozent der Bootsflüchtlinge aufnehmen zu wollen, ist nichts anderes als Beihilfe zur Werbung für die illegalen Schlepperorganisationen.","","","39",6,19118
"41",41," Von Ihnen hätten wir anderes erwartet.","","","40",6,19118
"42",42," Von Ihnen, Herr Seehofer, hätten wir erwartet, dass Sie wieder über die Hotspots in afrikanischen Transitländern unter Verantwortung des Flüchtlingshilfswerks der Vereinten Nationen sprechen.","","","41",6,19118
"43",43," Von Ihnen hätten wir erwartet,Christian Lindnerdass Sie über europäischen Grenzschutz sprechen, Frontex nicht erst 2027 auf volle Mannstärke bringen, sondern bereits vorher.","","","42",6,19118
"44",44," Von Ihnen hätten wir eine Initiative für eine hoheitliche Seenotrettung im Mittelmeer erwartet, und nicht pauschal eine Politik, der niemand im Europäischen Rat folgen wird.","","","43",6,19118
"45",45," Frau Bundeskanzlerin, Sie haben hier Bemerkenswertes über die Haushaltsplanung der Europäischen Union von 2021 bis 2027 gesagt.","","","44",6,19118
"46",46," Man konnte heute in der „FAZ“ lesen, dass der deutsche Nettobeitrag von 13,5 Milliarden Euro im Jahr 2018 auf über 30 Milliarden Euro bis 2027 ansteigen kann.","","","45",6,19118
"47",47," Sie haben heute das Wort von einem Rabatt in den Mund genommen.","","","46",6,19118
"48",48," Sie haben gesagt, dass Sie bei Ihren Verhandlungen von einem 1-Prozent-Ziel der Wirtschaftsleistung als deutschem Beitrag ausgehen.","","","47",6,19118
"49",49," Frau Bundeskanzlerin, diese Ihre Einschätzung teilen wir.","","","48",6,19118
"50",50," Wie viel anders ist das aber als das, was Sie in Ihrem Koalitionsvertrag geschrieben haben, wo Sie seinerzeit von sich aus als deutsche Koalition angeboten haben, mehr in die Europäische Union einzahlen zu wollen, ohne die Frage zu stellen, wofür? Da müssen doch unsere Partner in Europa irrewerden, wenn auf der einen Seite öffentlich angeboten wird:","","","49",6,19118
"51",51," „Wir zahlen mehr“ und es kurze Zeit später dann heißt:","","","50",6,19118
"52",52," Deutschland will einen Rabatt.","","","51",6,19118
