"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",7,19120
"2",2," Bitte, gern.","","","01",7,19120
"3",3,"Martin Hess:","","","02",7,19120
"4",4,"Herr Minister, ich korrigiere Sie ungern, aber die frühere Bedürfnisprüfung sah eben keine Wiederholungsprüfung ohne konkreten Anhaltspunkt vor.","","","03",7,19120
"5",5," Die jetzige gesetzliche Vorlage sieht genau das vor.","","","04",7,19120
"6",6," Meine konkrete Nachfrage:","","","05",7,19120
"7",7," Im Zusammenhang mit der Verscharfung des Waffenrechts wird ja auch die Regelabfrage beim Verfassungsschutz thematisiert.","","","06",7,19120
"8",8," Das würde zweifelsohne unsere Sportschtitzen unter einen Generalverdacht stellen.","","","07",7,19120
"9",9," Deshalb die Frage an Sie:","","","08",7,19120
"10",10," Wie positionieren Sie sich zur Regelabfrage beim Verfassungsschutz, insbesondere unter Berücksichtigung der Tatsache, dass bereits jetzt effektive Maßnahmen im Waffengesetz enthalten sind, um Extremisten zu bekämpfen und vom Waffenbesitz auszuschließen?Horst Seehofer, Bundesminister des Innern, für Bau und Heimat:","","","09",7,19120
"11",11,"Wir haben hier gemeinsam mit den Bundesländern, die ja für den Vollzug des Waffenrechts zuständig sind, eine Meinung entwickelt.","","","10",7,19120
"12",12," Übrigens hat der Bundesrat mit 16 zu 0 die Entscheidung getroffen, dass wir diese Regelüberprüfung machen werden — nicht um jemanden unter Generalverdacht zu stellen, sondern um jenen, die in rechtsextremistischen oder linksextremistischen Szenen unterwegs sind, keine Waffenerlaubnisse zu erteilen oder, wenn sie erteilt sind, diese wieder zu entziehen.","","","11",7,19120
"13",13," Mir geht es nicht um einen Generalverdacht; darum geht es keinem der Beteiligten, auch den Bundesländern und den Koalitionsfraktionen nicht.","","","12",7,19120
"14",14," Vielmehr geht es darum, Waffen nicht in die Hände von extremistischen Kräften in diesem Lande kommen zu lassen.","","","13",7,19120
"15",15,"Ich möchte in aller Ernsthaftigkeit hinzufügen:","","","14",7,19120
"16",16," Wir verdanken es nach meiner festen Überzeugung bei all der Katastrophe und dem mörderischen Verbrechen von Halle auch dem deutschen Waffenrecht, dass der Schaden und das Leid nicht noch größer geworden sind.","","","15",7,19120
"17",17," Präsident Dr.
 Wolfgang ","","","16",7,19120
