"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",125,19077
"2",2,"Vielen Dank, Jutta Krellmann.","","","01",125,19077
"3",3," — Nächste Rednerin für Bündnis 90/Die Grünen:","","","02",125,19077
"4",4," Dr.","","","03",125,19077
"5",5," Franziska Brantner.","","","04",125,19077
"6",6," NENSehr geehrte Präsidentin! Sehr geehrte Damen und Herren! Wir sitzen hier und reden, weil der Hard Brexit nähergekommen ist, weil Frau May die Zukunft Großbritanniens verzockt, weil sie die Einheit ihrer Tory-Partei über die Interessen ihres Landes gestellt hat.","","","05",125,19077
"7",7," Damit gefährdet sie nicht nur ihr Land, sondern auch europäische Bürgerinnen und Bürger in Großbritannien und britische Bürger bei uns.","","","06",125,19077
"8",8,"Dr.","","","07",125,19077
"9",9," Franziska Brantner:","","","08",125,19077
"10",10,"Um diese Bürgerinnen und Bürger zu schützen, müssen wir uns in Deutschland — genau wie in allen anderen europäischen Partnerlandern — auf einen Hard Brexit vor Dr.","","","09",125,19077
"11",11," Franziska Brantnerbereiten.","","","10",125,19077
"12",12," Es ist gut, dass das Gesetz, das uns im Entwurf vorliegt, hier wichtige Rechtssicherheit bringt.","","","11",125,19077
"13",13," Es ist gut, dass der deutsche Student in London genau wie der britische Student in Deutschland weiter Zugang zum BAföG hat.","","","12",125,19077
"14",14," Es ist gut, dass die Rentenansprüche geklärt sind, und es ist gut, dass eine doppelte Staatsbürgerschaft ermöglicht werden soll.","","","13",125,19077
"15",15," Es wundert mich, dass die AfD hier gegen ein Gesetz wettert, das die Rechte von über 300 000 Deutschen sichert.","","","14",125,19077
"16",16," Es ist jetzt wichtig, dass die Bundesregierung diese Notfallmaßnahmen europäisch koordiniert, damit die EU-27 mit einer Stimme auf einen No-Deal reagiert.","","","15",125,19077
"17",17," Bis jetzt gehen die Antworten sehr weit auseinander.","","","16",125,19077
"18",18," Die Finnen machen es anders als wir, die Holländer noch mal anders.","","","17",125,19077
"19",19," Es gibt seit gestern einen Verordnungsvorschlag.","","","18",125,19077
"20",20," Ich würde mir wünschen, dass wir ihn jetzt berücksichtigen und das europäisch koordinieren; denn es darf nicht dazu kommen, dass wir lauter kleine Mini-No-Deal-Abkommen schließen, mit denen jedes Land versucht, seine Schäfchen ins Trockene zu bringen, aber am Ende alle im Regen stehen.","","","19",125,19077
"21",21," Von daher:","","","20",125,19077
"22",22," Lassen Sie uns die Möglichkeit nutzen, europäisch eine Koordinierung zu garantieren.","","","21",125,19077
"23",23," Zu den aktuellen Verhandlungen zum Backstop möchte ich noch eines sagen:","","","22",125,19077
"24",24," Es gibt ja anscheinend zwei Dinge, die die Briten wollen.","","","23",125,19077
"25",25," Das eine ist eine Befristung.","","","24",125,19077
"26",26," Für uns muss doch klar sein, dass wir eine Priorität haben, und das ist der irische Frieden.","","","25",125,19077
"27",27," Wir können nicht zulassen, dass die Iren nur die Wahl zwischen Pest und Cholera, zwischen Hard Brexit oder befristetem Backstop haben.","","","26",125,19077
"28",28," Es gibt keinen Frieden auf Zeit, es gibt auch keinen halben Frieden.","","","27",125,19077
"29",29," Es gibt nur Frieden, und den müssen wir sichern.","","","28",125,19077
"30",30," Wenn die Briten also unbedingt ein Datum haben wollen — es scheint ja, als ob sie irgendeine Zahl wollten —, dann geben wir ihnen doch eine Zahl, zum Beispiel „2119“ oder „2319“, aber nichts, was den Frieden in Irland gefährdet.","","","29",125,19077
"31",31," Das Zweite, was die Briten wollen — und das ist für uns und den Rest der Europäer gefährlich -, ist eine Aufweichung der Umwelt-, Verbraucher- und Sozialstandards.","","","30",125,19077
"32",32," Wer am Dienstag die Debatte im Unterhaus verfolgt und gut zugehört hat, hat gehört, dass viele ein Papier zitiert haben, das klar aufzeigt, welche Alternative Arrangements man gerne hätte.","","","31",125,19077
"33",33," Da wurde offen davon gesprochen, dass man die Nichtrückschrittsklauseln, die Non-Regressions Clauses, im Umwelt- und Sozialbereich abschaffen möchte, und die Regeln im Wettbewerbsbereich gleich dazu.","","","32",125,19077
"34",34," Das ist auch das, was May in ihrer anschließenden Rede erwähnt hat.","","","33",125,19077
"35",35," Sie sprach dort explizit von den Workers Rights, die man schwächen möchte.","","","34",125,19077
"36",36," Wenn wir dem nachgeben, dann gefährden wir unsere Arbeitnehmerinnen und Arbeitnehmer, unsere Verbraucherinnen und Verbraucher.","","","35",125,19077
"37",37," Das kann die EU nicht tun.","","","36",125,19077
"38",38," Wir können nicht Rechte und Zugang zum Binnenmarkt ermöglichen, aber gleichzeitig unsere Standards nicht mehr gelten lassen.","","","37",125,19077
"39",39," Das wäre Dumping; das können wir nicht zulassen.","","","38",125,19077
"40",40," Die Bundesregierung muss ganz klar dagegen sein.","","","39",125,19077
"41",41," Von daher:","","","40",125,19077
"42",42," Machen Sie den Backstop nicht auf! Glauben Sie nicht an Einhörner, an Unicorns! Ich hoffe, dass diese Sendung im Unterhaus - sie ist eigentlich besser als jede Netflix-Sendung, wenn es bloß nicht Realität wäre — bald ein Ende hat.","","","41",125,19077
"43",43," Ich hoffe, dass wir bald durch sind und unsere und die britischen Bürgerinnen und Bürger am Ende geschützt sind und weiter gut leben können.","","","42",125,19077
"44",44,"Ich danke Ihnen.
 Vizepräsidentin Claudia ","","","43",125,19077
