"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",73,19106
"2",2," Weitere Zusatzfrage?Dr.","","","01",73,19106
"3",3," Diether Dehm:","","","02",73,19106
"4",4,"Sehr lieb, danke.","","","03",73,19106
"5",5," — Herzlichen Dank für Ihre Antwort.","","","04",73,19106
"6",6," — Sie können ja jetzt nur ausbaden, was andere da angerichtet haben.","","","05",73,19106
"7",7," Deswegen will ich auch meinen Ton mäßigen.","","","06",73,19106
"8",8,"Meine Frage an Sie ist:","","","07",73,19106
"9",9," Können Sie sich vorstellen, dass Sie diese Rechtskonstruktion mit Blick auf den Bundesanzeiger Verlag einer gründlichen Revision unterziehen, dass Sie sie auf den Prüfstand stellen, sodass ein Konzern wie Neven DuMont - das ist wie eine Gelddruckmaschine — nicht mehr von kleinen Unternehmen pausenlos Gelder, die sie nicht haben, fordert und dann verlangt, dass diese rechtzeitig alle Fragen, die gestellt werden, beantworten, während der Steuerberater vielleicht im wohlverdienten Weihnachtsurlaub ist — das passiert immer genau in dieser Zeit —, dass also diese Konstruktion so verändert wird, dass wir mit unseren mittelständischen Unternehmen, die nun wirklich die Power der Wirtschaft sind, schonender umgehen? — Ich bin froh, dass ich Ihren Zwischenruf nicht gehört habe.","","","08",73,19106
"10",10," Aber wenn Sie selber Unternehmer sind, dann können wir ein anderes Mal darüber sprechen.","","","09",73,19106
"11",11," Ich selber habe das von vielen meiner Kolleginnen und Kollegen, GmbHs, Besitzer und Geschäftsführer usw.","","","10",73,19106
"12",12,", gehört.","","","11",73,19106
"13",13," Dies ist eine überflüssige Schikaneaktion des Bürokratismus, nicht der Bürokratie.","","","12",73,19106
"14",14,"Meine Frage ist:","","","13",73,19106
"15",15," Können Sie sich vorstellen, dass in Ihrem Ministerium darüber gesprochen wird, dass man Neven DuMont diesen Vertrag entzieht und ihm einem mittelständischen Unternehmen übergibt und dass man auch schonender auf die Bedürfnisse und die Zeitabläufe kleiner und mittlerer Unternehmen eingeht?Rita Hagl-Kehl, Parl.","","","14",73,19106
"16",16," Staatssekretärin bei der Bundesministerin der Justiz und für Verbraucherschutz:","","","15",73,19106
"17",17,"Soweit ich weiß, ist momentan keine Überprüfung geplant.","","","16",73,19106
"18",18," Aber ich kann das im Ministerium gern mal vorlegen, und wir können Ihnen dann dazu schriftlich eine Antwort geben.
 Vizepräsident Thomas ","","","17",73,19106
